Date,rf_rate
09/30/2022,4.08
09/29/2022,4
09/28/2022,3.98
09/27/2022,4.15
09/26/2022,4.01
09/23/2022,3.87
09/22/2022,3.9
09/21/2022,3.73
09/20/2022,3.83
09/19/2022,3.77
09/16/2022,3.79
09/15/2022,3.75
09/14/2022,3.73
09/13/2022,3.75
9/12/2022,3.76
9/9/2022,3.71
9/8/2022,3.69
9/7/2022,3.67
9/6/2022,3.74
9/2/2022,3.61
9/1/2022,3.64
08/31/2022,3.53
08/30/2022,3.49
08/29/2022,3.5
08/26/2022,3.44
08/25/2022,3.47
08/24/2022,3.55
08/23/2022,3.49
08/22/2022,3.48
08/19/2022,3.44
08/18/2022,3.35
08/17/2022,3.37
08/16/2022,3.31
08/15/2022,3.31
8/12/2022,3.34
8/11/2022,3.38
8/10/2022,3.27
8/9/2022,3.24
8/8/2022,3.22
8/5/2022,3.27
8/4/2022,3.15
8/3/2022,3.17
8/2/2022,3.22
8/1/2022,3.12
07/29/2022,3.2
07/28/2022,3.23
07/27/2022,3.26
07/26/2022,3.27
07/25/2022,3.28
07/22/2022,3.23
07/21/2022,3.33
07/20/2022,3.43
07/19/2022,3.42
07/18/2022,3.39
07/15/2022,3.34
07/14/2022,3.36
07/13/2022,3.35
7/12/2022,3.37
7/11/2022,3.43
7/8/2022,3.53
7/7/2022,3.45
7/6/2022,3.42
7/5/2022,3.31
7/1/2022,3.35
06/30/2022,3.38
06/29/2022,3.46
06/28/2022,3.55
06/27/2022,3.56
06/24/2022,3.51
06/23/2022,3.45
06/22/2022,3.49
06/21/2022,3.63
06/17/2022,3.55
06/16/2022,3.59
06/15/2022,3.64
06/14/2022,3.72
06/13/2022,3.68
6/10/2022,3.45
6/9/2022,3.4
6/8/2022,3.4
6/7/2022,3.35
6/6/2022,3.41
6/3/2022,3.33
6/2/2022,3.3
6/1/2022,3.31
05/31/2022,3.28
05/27/2022,3.16
05/26/2022,3.18
05/25/2022,3.14
05/24/2022,3.16
05/23/2022,3.26
05/20/2022,3.17
05/19/2022,3.24
05/18/2022,3.24
05/17/2022,3.36
05/16/2022,3.3
05/13/2022,3.32
5/12/2022,3.22
5/11/2022,3.25
5/10/2022,3.31
5/9/2022,3.38
5/6/2022,3.43
5/5/2022,3.35
5/4/2022,3.21
5/3/2022,3.21
5/2/2022,3.26
04/29/2022,3.14
04/28/2022,3.1
04/27/2022,3.08
04/26/2022,3.03
04/25/2022,3.06
04/22/2022,3.14
04/21/2022,3.12
04/20/2022,3.08
04/19/2022,3.19
04/18/2022,3.12
04/14/2022,3.09
04/13/2022,2.97
4/12/2022,2.99
4/11/2022,3.02
4/8/2022,2.94
4/7/2022,2.87
4/6/2022,2.81
4/5/2022,2.74
4/4/2022,2.64
4/1/2022,2.6
03/31/2022,2.59
03/30/2022,2.63
03/29/2022,2.68
03/28/2022,2.72
03/25/2022,2.74
03/24/2022,2.63
03/23/2022,2.65
03/22/2022,2.71
03/21/2022,2.67
03/18/2022,2.53
03/17/2022,2.6
03/16/2022,2.56
03/15/2022,2.57
03/14/2022,2.56
3/11/2022,2.45
3/10/2022,2.45
3/9/2022,2.38
3/8/2022,2.34
3/7/2022,2.29
3/4/2022,2.23
3/3/2022,2.32
3/2/2022,2.32
3/1/2022,2.19
02/28/2022,2.25
02/25/2022,2.37
02/24/2022,2.36
02/23/2022,2.36
02/22/2022,2.31
02/18/2022,2.3
02/17/2022,2.35
02/16/2022,2.39
02/15/2022,2.42
02/14/2022,2.35
2/11/2022,2.3
2/10/2022,2.37
2/9/2022,2.31
2/8/2022,2.31
2/7/2022,2.28
2/4/2022,2.29
2/3/2022,2.2
2/2/2022,2.17
2/1/2022,2.19
01/31/2022,2.17
01/28/2022,2.14
01/27/2022,2.17
01/26/2022,2.22
01/25/2022,2.18
01/24/2022,2.15
01/21/2022,2.13
01/20/2022,2.19
01/19/2022,2.2
01/18/2022,2.24
01/14/2022,2.18
01/13/2022,2.1
1/12/2022,2.13
1/11/2022,2.13
1/10/2022,2.15
1/7/2022,2.15
1/6/2022,2.12
1/5/2022,2.12
1/4/2022,2.1
1/3/2022,2.05
